2023.02.07_00:03,80
2023.02.07_00:08,83
2023.02.07_00:15,77
2023.02.07_00:16,79
2023.02.07_00:18,80
2023.02.07_00:27,80
2023.02.07_00:28,79
2023.02.07_00:37,79
2023.02.07_00:39,79
2023.02.07_00:45,80
2023.02.07_00:49,84
2023.02.07_00:57,84
2023.02.07_00:59,84
2023.02.07_01:03,86
2023.02.07_01:11,99
2023.02.07_01:13,98
2023.02.07_01:14,100
2023.02.07_01:19,98
2023.02.07_01:24,84
2023.02.07_01:28,74
2023.02.07_01:33,80
2023.02.07_01:41,80
2023.02.07_01:44,73
2023.02.07_01:48,73
2023.02.07_01:50,71
2023.02.07_01:56,73
2023.02.07_01:59,73
2023.02.07_02:03,74
2023.02.07_02:10,72
2023.02.07_02:13,73
2023.02.07_02:18,73
2023.02.07_02:20,72
2023.02.07_02:26,76
2023.02.07_02:31,84
2023.02.07_02:37,84
2023.02.07_02:38,84
2023.02.07_02:44,83
2023.02.07_02:48,84
2023.02.07_02:53,83
2023.02.07_03:00,85
2023.02.07_03:07,94
2023.02.07_03:08,93
2023.02.07_03:13,94
2023.02.07_03:20,84
2023.02.07_03:25,84
2023.02.07_03:28,80
2023.02.07_03:33,78
2023.02.07_03:36,79
2023.02.07_03:38,79
2023.02.07_03:42,79
2023.02.07_03:45,79
2023.02.07_03:51,79
2023.02.07_03:53,79
2023.02.07_04:01,79
2023.02.07_04:03,79
2023.02.07_04:09,79
2023.02.07_04:16,80
2023.02.07_04:19,80
2023.02.07_04:23,80
2023.02.07_04:30,80
2023.02.07_04:33,84
2023.02.07_04:39,86
2023.02.07_04:43,84
2023.02.07_04:45,82
2023.02.07_04:48,79
2023.02.07_04:56,84
2023.02.07_05:00,79
2023.02.07_05:03,79
2023.02.07_05:09,79
2023.02.07_05:14,84
2023.02.07_05:15,83
2023.02.07_05:19,80
2023.02.07_05:26,84
2023.02.07_05:32,80
2023.02.07_05:35,84
2023.02.07_05:38,80
2023.02.07_05:42,82
2023.02.07_05:45,80
2023.02.07_05:48,83
2023.02.07_05:52,78
2023.02.07_05:54,84
2023.02.07_05:59,84
2023.02.07_06:04,84
2023.02.07_06:10,84
2023.02.07_06:15,83
2023.02.07_06:19,79
2023.02.07_06:22,80
2023.02.07_06:23,84
2023.02.07_06:30,79
2023.02.07_06:33,79
2023.02.07_06:39,79
2023.02.07_06:43,79
2023.02.07_06:52,84
2023.02.07_06:56,84
2023.02.07_06:58,83
2023.02.07_07:00,80
2023.02.07_07:06,84
2023.02.07_07:12,84
2023.02.07_07:13,84
2023.02.07_07:21,84
2023.02.07_07:27,88
2023.02.07_07:28,84
2023.02.07_07:33,90
2023.02.07_07:42,93
2023.02.07_07:45,98
2023.02.07_07:48,89
2023.02.07_07:52,89
2023.02.07_07:54,86
2023.02.07_08:02,85
2023.02.07_08:04,85
2023.02.07_08:12,84
2023.02.07_08:15,84
2023.02.07_08:21,89
2023.02.07_08:23,84
2023.02.07_08:30,84
2023.02.07_08:30,84
2023.02.07_08:33,88
2023.02.07_08:38,87
2023.02.07_08:43,90
