2023.02.09_00:01,85
2023.02.09_00:03,84
2023.02.09_00:08,90
2023.02.09_00:12,91
2023.02.09_00:15,87
2023.02.09_00:20,85
2023.02.09_00:24,84
2023.02.09_00:28,85
2023.02.09_00:37,85
2023.02.09_00:40,85
2023.02.09_00:45,89
2023.02.09_00:49,80
2023.02.09_00:53,94
2023.02.09_00:59,88
2023.02.09_01:03,85
2023.02.09_01:12,84
2023.02.09_01:12,82
2023.02.09_01:15,80
2023.02.09_01:19,75
2023.02.09_01:23,75
2023.02.09_01:28,76
2023.02.09_01:35,84
2023.02.09_01:38,72
2023.02.09_01:45,73
2023.02.09_01:52,70
2023.02.09_01:53,76
2023.02.09_02:00,74
2023.02.09_02:00,79
2023.02.09_02:06,85
2023.02.09_02:11,94
2023.02.09_02:13,90
2023.02.09_02:13,89
2023.02.09_02:19,90
2023.02.09_02:25,84
2023.02.09_02:29,84
2023.02.09_02:35,84
2023.02.09_02:38,84
2023.02.09_02:43,83
2023.02.09_02:44,84
2023.02.09_02:48,79
2023.02.09_02:56,79
2023.02.09_03:02,80
2023.02.09_03:04,80
2023.02.09_03:08,74
2023.02.09_03:17,79
2023.02.09_03:18,73
2023.02.09_03:25,79
2023.02.09_03:29,79
2023.02.09_03:37,84
2023.02.09_03:41,84
2023.02.09_03:44,84
2023.02.09_03:49,84
2023.02.09_03:54,83
2023.02.09_03:58,84
2023.02.09_04:05,72
2023.02.09_04:08,71
2023.02.09_04:13,73
2023.02.09_04:13,73
2023.02.09_04:22,84
2023.02.09_04:24,84
2023.02.09_04:30,79
2023.02.09_04:34,84
2023.02.09_04:40,84
2023.02.09_04:43,78
2023.02.09_04:47,80
2023.02.09_04:51,80
2023.02.09_04:54,84
2023.02.09_05:02,80
2023.02.09_05:04,80
2023.02.09_05:09,80
2023.02.09_05:13,80
2023.02.09_05:13,80
2023.02.09_05:18,83
2023.02.09_05:26,85
2023.02.09_05:31,79
2023.02.09_05:34,84
2023.02.09_05:40,84
2023.02.09_05:42,88
2023.02.09_05:43,87
2023.02.09_05:46,84
2023.02.09_05:48,80
2023.02.09_05:54,79
2023.02.09_06:01,73
2023.02.09_06:03,73
2023.02.09_06:09,72
2023.02.09_06:13,73
2023.02.09_06:14,73
2023.02.09_06:18,72
2023.02.09_06:23,73
2023.02.09_06:28,73
2023.02.09_06:33,72
2023.02.09_06:38,74
